Date,Open,High,Low,Close,Adj Close,Volume
1971-02-11,8.393429,8.433494,8.373397,8.373397,1.789342,648960
1971-02-12,8.373397,8.563702,8.373397,8.543670,1.825728,849888
1971-02-16,8.533654,8.533654,8.433494,8.473558,1.810745,589056
1971-02-17,8.423478,8.423478,8.333333,8.333333,1.780780,500448
1971-02-18,8.333333,8.403446,8.313301,8.353365,1.785061,560352
1971-02-19,8.353365,8.363381,8.283253,8.293269,1.772218,415584
1971-02-22,8.283253,8.283253,8.213141,8.253205,1.763658,499200
1971-02-23,8.253205,8.373397,8.243189,8.303285,1.774359,515424
1971-02-24,8.343349,8.493590,8.343349,8.443510,1.804325,728832
1971-02-25,8.473558,8.693910,8.473558,8.663862,1.851412,983424
1971-02-26,8.663862,8.673878,8.553686,8.663862,1.851412,535392
1971-03-01,8.653846,8.653846,8.573718,8.623798,1.842852,398112
1971-03-02,8.623798,8.723958,8.593750,8.663862,1.851412,449280
1971-03-03,8.663862,8.713942,8.613782,8.683894,1.866915,459264
1971-03-04,8.683894,8.794071,8.663862,8.764022,1.884143,449280
1971-03-05,8.814103,8.954327,8.814103,8.844151,1.901369,902304
1971-03-08,8.844151,8.854167,8.754006,8.834135,1.899217,371904
1971-03-09,8.834135,8.864183,8.653846,8.653846,1.860456,350688
1971-03-10,8.673878,8.733974,8.673878,8.703926,1.871223,265824
1971-03-11,8.703926,8.764022,8.633814,8.633814,1.856149,481728
1971-03-12,8.643830,8.703926,8.643830,8.703926,1.871223,646464
1971-03-15,8.703926,8.974359,8.673878,8.894231,1.912135,678912
1971-03-16,8.894231,9.014423,8.844151,8.854167,1.903523,495456
1971-03-17,8.854167,8.884215,8.794071,8.854167,1.903523,363168
1971-03-18,8.854167,8.914263,8.814103,8.844151,1.901369,257088
1971-03-19,8.844151,8.924279,8.844151,8.874199,1.907829,482976
1971-03-22,8.874199,8.884215,8.784054,8.844151,1.901369,250848
1971-03-23,8.844151,8.904247,8.804087,8.904247,1.914289,1437696
1971-03-24,8.904247,8.914263,8.834135,8.864183,1.905676,396864
1971-03-25,8.864183,8.904247,8.764022,8.904247,1.914289,546624
1971-03-26,8.944311,9.014423,8.944311,8.954327,1.925055,472992
1971-03-29,8.954327,9.054487,8.914263,8.974359,1.929362,624000
1971-03-30,8.974359,8.974359,8.924279,8.954327,1.925055,358176
1971-03-31,8.974359,9.044471,8.974359,8.974359,1.929362,338208
1971-04-01,8.974359,9.024439,8.954327,8.994391,1.933669,312000
1971-04-02,8.994391,9.054487,8.934295,8.944311,1.922902,517920
1971-04-05,8.944311,9.024439,8.904247,9.014423,1.937975,396864
1971-04-06,9.014423,9.334936,8.984375,9.304888,2.000421,1019616
1971-04-07,9.304888,9.375000,9.244792,9.375000,2.015495,536640
1971-04-08,9.375000,9.395032,9.274840,9.354968,2.011187,1178112
1971-04-12,9.435096,9.485176,9.435096,9.485176,2.039182,602784
1971-04-13,9.485176,9.535256,9.465144,9.495192,2.041333,279552
1971-04-14,9.495192,9.615385,9.435096,9.615385,2.067175,524160
1971-04-15,9.615385,9.685497,9.535256,9.555288,2.054255,683904
1971-04-16,9.555288,9.595353,9.505208,9.575321,2.058560,469248
1971-04-19,9.575321,9.615385,9.545272,9.575321,2.058560,438048
1971-04-20,9.555288,9.555288,9.495192,9.505208,2.043488,315744
1971-04-21,9.505208,9.665465,9.505208,9.645433,2.073634,675168
